sample_id,snr_db,gap_ratio,clipping_ratio,available_channels,missing_channels,status
XO.LA39..HH.2018.06.23.09.28.49,9.2,0.0,0.0001,Z|N|E|H,,OK
XO.LT06..HH.2018.06.23.11.18.23,13.4,0.25,0.0011,Z|N|H,E,OK
XO.LT12..HH.2018.06.23.11.18.26,7.3,0.0,0.002,Z|N|E|H,,OK
XO.LT01..HH.2018.06.23.22.50.12,8.0,0.0,0.001,Z|N|E|H,,OK
XO.LA39..HH.2018.06.23.22.50.05,13.8,0.0,0.0001,Z|N|E|H,,OK
XO.LD40..HH.2018.06.23.03.58.02,11.8,0.25,0.0001,Z|N|E,,OK
XO.LT01..HH.2018.06.23.03.58.04,7.5,0.0,0.0025,Z|N|E|H,,OK
XO.LD40..HH.2018.06.23.09.03.32,12.5,0.25,0.0002,Z|N|E,,OK
XO.LD41..HH.2018.06.23.09.03.50,12.9,0.25,0.0006,Z|N|E,,OK
XO.LA39..HH.2018.06.23.10.49.45,4.9,0.0,0.0004,Z|N|E|H,,OK
XO.LD41..HH.2018.06.23.10.49.49,11.0,0.25,0.0007,Z|N|E,,OK
XO.LD41..HH.2018.06.23.11.26.22,12.8,0.25,0.001,Z|N|E,,OK
XO.LT18..HH.2018.06.23.21.11.07,14.8,0.25,0.0034,Z|N|H,E,OK
XO.LD41..HH.2018.06.24.21.53.25,10.0,0.25,0.0005,Z|N|E,,OK
XO.LD40..HH.2018.06.24.21.53.31,14.5,0.25,0.0006,Z|N|E,,OK
XO.LD40..HH.2018.06.24.03.05.14,15.1,0.25,0.0005,Z|N|E,,OK
XO.LD40..HH.2018.06.24.06.41.24,14.2,0.25,0.0005,Z|N|E,,OK
XO.LD41..HH.2018.06.24.06.41.33,10.4,0.25,0.0005,Z|N|E,,OK
XO.LT20..HH.2018.06.24.07.28.52,15.7,0.25,0.0005,Z|N|E,,OK
XO.LD40..HH.2018.06.24.11.28.11,12.0,0.25,0.0005,Z|N|E,,OK
XO.LA39..HH.2018.06.24.13.18.58,7.2,0.0,0.0002,Z|N|E|H,,OK
XO.LT14..HH.2018.06.24.20.52.29,10.9,0.25,0.004,Z|N|H,E,OK
XO.LA39..HH.2018.06.25.06.46.14,9.5,0.0,0.0001,Z|N|E|H,,OK
XO.LA39..HH.2018.06.25.13.30.18,6.7,0.0,0.0002,Z|N|E|H,,OK
XO.LD41..HH.2018.06.25.15.05.48,10.3,0.25,0.0007,Z|N|E,,OK
XO.LT18..HH.2018.06.25.20.45.33,10.3,0.25,0.0003,Z|N|H,E,OK
XO.LT14..HH.2018.06.26.04.06.48,11.5,0.25,0.0016,Z|N|H,E,OK
XO.LT01..HH.2018.06.26.04.07.06,13.2,0.0,0.0013,Z|N|E|H,,OK
XO.LD45..HH.2018.06.26.23.50.41,11.6,0.25,0.0009,Z|N|E,,OK
XO.LD45..HH.2018.06.27.00.26.02,13.2,0.25,0.0011,Z|N|E,,OK
XO.LD38..HH.2018.06.27.15.38.33,14.8,0.25,0.0014,Z|N|E,,OK
XO.LD40..HH.2018.06.27.15.38.37,13.9,0.25,0.0001,Z|N|E,,OK
XO.LD44..HH.2018.06.27.16.31.44,17.6,0.25,0.0001,Z|N|E,,OK
XO.LT13..HH.2018.06.27.16.31.58,1.0,0.0,0.0004,Z|N|E|H,,OK
XO.LT14..HH.2018.06.27.16.32.06,10.1,0.25,0.0006,Z|N|H,E,OK
XO.LA39..HH.2018.06.27.21.35.03,4.8,0.0,0.0005,Z|N|E|H,,OK
XO.LD40..HH.2018.06.27.21.35.07,16.4,0.25,0.0005,Z|N|E,,OK
XO.LD41..HH.2018.06.27.21.35.14,9.4,0.25,0.0005,Z|N|E,,OK
XO.LA39..HH.2018.06.27.01.14.12,4.1,0.0,0.0005,Z|N|E|H,,OK
XO.LT17..HH.2018.06.27.14.35.14,0.4,0.0,0.0005,Z|N|E|H,,OK
XO.LT12..HH.2018.06.27.14.35.49,3.9,0.0,0.0187,Z|N|E|H,,OK
XO.LA39..HH.2018.06.27.15.03.47,5.2,0.0,0.0007,Z|N|E|H,,OK
XO.LA39..HH.2018.06.27.18.15.52,5.8,0.0,0.0003,Z|N|E|H,,OK
XO.LT01..HH.2018.06.27.18.42.22,8.1,0.0,0.0013,Z|N|E|H,,OK
XO.LD40..HH.2018.06.27.19.46.48,10.2,0.25,0.0007,Z|N|E,,OK
XO.LT01..HH.2018.06.27.19.46.50,11.8,0.0,0.0016,Z|N|E|H,,OK
XO.LT10..HH.2018.06.27.21.27.30,2.9,0.0,0.0011,Z|N|E|H,,OK
XO.LT16..HH.2018.06.27.21.27.36,23.6,0.75,0.0004,Z|H,N|E,OK
XO.LT04..HH.2018.06.29.01.00.03,7.4,0.0,0.0004,Z|N|E|H,,OK
XO.LD40..HH.2018.06.29.00.59.59,13.6,0.25,0.0001,Z|N|E,,OK
XO.LT01..HH.2018.06.29.02.22.56,11.3,0.0,0.0014,Z|N|E|H,,OK
XO.LT16..HH.2018.06.29.05.18.13,24.9,0.0,0.0019,Z|N|E|H,,OK
XO.LA39..HH.2018.06.29.13.41.44,4.8,0.0,0.0003,Z|N|E|H,,OK
XO.LT17..HH.2018.06.29.18.55.25,0.6,0.0,0.0001,Z|N|E|H,,OK
XO.LT12..HH.2018.06.29.18.55.46,6.6,0.0,0.0052,Z|N|E|H,,OK
XO.LD41..HH.2018.06.29.21.37.47,13.5,0.25,0.0009,Z|N|E,,OK
XO.LT01..HH.2018.06.30.03.05.03,11.0,0.0,0.0003,Z|N|E|H,,OK
XO.LT04..HH.2018.06.30.22.09.27,7.1,0.0,0.0005,Z|N|E|H,,OK
XO.LT12..HH.2018.06.30.03.41.12,11.7,0.0,0.0081,Z|N|E|H,,OK
XO.LD36..HH.2018.06.30.03.41.20,15.1,0.25,0.0019,Z|N|E,,OK
XO.LT06..HH.2018.06.30.03.41.20,11.7,0.25,0.0019,Z|N|H,E,OK
XO.LT20..HH.2018.06.30.11.21.06,17.3,0.25,0.001,Z|N|E,,OK
XO.LD38..HH.2018.06.15.22.30.17,12.7,0.25,0.0002,Z|N|E,,OK
XO.LT04..HH.2018.06.19.13.54.29,0.3,0.0,0.0004,Z|N|E|H,,OK
XO.LD41..HH.2018.06.23.15.10.44,12.0,0.25,0.0002,Z|N|E,,OK
XO.LT17..HH.2018.06.24.21.03.43,4.3,0.0,0.0003,Z|N|E|H,,OK
XO.LD40..HH.2018.06.26.19.40.45,11.3,0.25,0.0008,Z|N|E,,OK
XO.LT09..HH.2018.06.27.22.25.46,9.2,0.0,0.0033,Z|N|E|H,,OK
XO.LT01..HH.2018.06.27.22.26.10,10.6,0.0,0.0014,Z|N|E|H,,OK
XO.LD38..HH.2018.06.28.19.05.54,12.8,0.25,0.0003,Z|N|E,,OK
XO.LA39..HH.2018.06.01.05.03.57,8.9,0.0,0.0014,Z|N|E|H,,OK
XO.LA39..HH.2018.06.01.17.07.48,7.2,0.0,0.001,Z|N|E|H,,OK
XO.LD40..HH.2018.06.02.04.57.00,17.3,0.25,0.0007,Z|N|E,,OK
XO.LD40..HH.2018.06.02.15.42.51,13.1,0.25,0.0003,Z|N|E,,OK
XO.LT06..HH.2018.06.03.22.39.34,12.0,0.25,0.0039,Z|N|H,E,OK
XO.LT01..HH.2018.06.06.02.15.01,13.3,0.0,0.0024,Z|N|E|H,,OK
XO.LA33..HH.2018.06.07.09.25.10,4.7,0.0,0.0005,Z|N|E|H,,OK
XO.LA39..HH.2018.06.08.06.22.04,8.4,0.0,0.0011,Z|N|E|H,,OK
XO.LD40..HH.2018.06.10.05.24.39,11.9,0.25,0.0005,Z|N|E,,OK
XO.LT01..HH.2018.06.10.09.11.42,9.8,0.0,0.0023,Z|N|E|H,,OK
XO.LD40..HH.2018.06.05.03.55.20,12.8,0.25,0.0003,Z|N|E,,OK
XO.LA39..HH.2018.06.06.09.29.04,9.2,0.0,0.0009,Z|N|E|H,,OK
XO.LA39..HH.2018.06.06.10.41.24,7.4,0.0,0.001,Z|N|E|H,,OK
XO.LD40..HH.2018.06.06.13.51.38,10.5,0.25,0.0007,Z|N|E,,OK
XO.LD40..HH.2018.06.06.13.54.37,9.6,0.25,0.0006,Z|N|E,,OK
XO.LA29..HH.2018.06.16.10.24.41,4.7,0.0,0.0007,Z|N|E|H,,OK
XO.LT13..HH.2018.06.16.10.24.26,0.4,0.0,0.0005,Z|N|E|H,,OK
XO.LD45..HH.2018.06.16.10.24.25,10.7,0.25,0.0009,Z|N|E,,OK
XO.LA34..HH.2018.06.16.10.24.21,9.1,0.0,0.0007,Z|N|E|H,,OK
XO.LT17..HH.2018.06.16.10.24.29,2.8,0.0,0.0006,Z|N|E|H,,OK
XO.LD40..HH.2018.06.17.05.47.57,15.0,0.25,0.0005,Z|N|E,,OK
XO.LD40..HH.2018.06.19.16.54.03,9.7,0.25,0.0007,Z|N|E,,OK
XO.LT01..HH.2018.06.20.09.27.13,11.7,0.0,0.0014,Z|N|E|H,,OK
XO.LD40..HH.2018.06.20.12.34.19,10.6,0.25,0.0007,Z|N|E,,OK
XO.LT01..HH.2018.06.15.09.47.11,8.9,0.0,0.0031,Z|N|E|H,,OK
XO.LA39..HH.2018.06.15.09.47.18,4.8,0.0,0.0008,Z|N|E|H,,OK
XO.LD41..HH.2018.06.15.09.47.29,10.5,0.25,0.0002,Z|N|E,,OK
XO.LT07..HH.2018.06.21.04.29.40,3.7,0.0,0.0005,Z|N|E|H,,OK
XO.LA34..HH.2018.06.22.16.31.13,4.3,0.0,0.0013,Z|N|E|H,,OK
XO.LD44..HH.2018.06.22.16.31.39,14.8,0.25,0.0001,Z|N|E,,OK
XO.LD38..HH.2018.06.23.03.56.47,13.1,0.25,0.0027,Z|N|E,,OK
XO.LA39..HH.2018.06.23.08.23.45,7.1,0.0,0.0004,Z|N|E|H,,OK
XO.LD41..HH.2018.06.24.13.36.09,12.3,0.25,0.0006,Z|N|E,,OK
XO.LA21..HH.2018.06.25.11.14.34,7.8,0.25,0.0001,Z|N|H,E,OK
XO.LD40..HH.2018.06.25.11.14.59,15.0,0.25,0.0008,Z|N|E,,OK
XO.LT09..HH.2018.06.25.11.15.04,10.7,0.0,0.0016,Z|N|E|H,,OK
XO.LA21..HH.2018.06.27.13.14.06,7.8,0.25,0.0004,Z|N|H,E,OK
XO.LD40..HH.2018.06.27.13.14.18,9.8,0.25,0.0007,Z|N|E,,OK
XO.LD41..HH.2018.06.28.02.12.16,10.3,0.25,0.0005,Z|N|E,,OK
XO.LD38..HH.2018.06.28.02.12.16,13.2,0.25,0.0003,Z|N|E,,OK
XO.LT01..HH.2018.06.28.16.18.09,4.9,0.0,0.0027,Z|N|E|H,,OK
XO.LT06..HH.2018.06.28.23.10.28,15.0,0.25,0.0039,Z|N|H,E,OK
XO.LD40..HH.2018.06.29.02.18.17,14.9,0.25,0.0005,Z|N|E,,OK
XO.LT12..HH.2018.06.29.12.37.02,5.9,0.0,0.0016,Z|N|E|H,,OK
XO.LT07..HH.2018.06.29.16.32.47,6.2,0.0,0.0013,Z|N|E|H,,OK
XO.LD40..HH.2018.06.30.20.21.29,12.8,0.25,0.0007,Z|N|E,,OK
XO.LA39..HH.2018.07.01.04.04.30,10.5,0.0,0.0001,Z|N|E|H,,OK
XO.LA25..HH.2018.07.01.19.54.40,25.3,0.25,0.0002,Z|N|H,E,OK
XO.LT16..HH.2018.07.01.19.54.44,23.2,0.75,0.0001,Z|H,N|E,OK
XO.LA39..HH.2018.07.01.01.03.07,9.8,0.0,0.0003,Z|N|E|H,,OK
XO.LA39..HH.2018.07.01.06.47.58,8.9,0.0,0.0005,Z|N|E|H,,OK
XO.LT07..HH.2018.07.01.19.09.26,10.4,0.0,0.0005,Z|N|E|H,,OK
XO.LT01..HH.2018.07.02.14.22.32,8.9,0.0,0.0025,Z|N|E|H,,OK
XO.LD41..HH.2018.07.02.14.22.35,12.3,0.25,0.0001,Z|N|E,,OK
XO.LD40..HH.2018.07.02.14.22.26,11.2,0.25,0.0001,Z|N|E,,OK
XO.LT01..HH.2018.07.02.00.06.04,6.6,0.0,0.0021,Z|N|E|H,,OK
XO.LT17..HH.2018.07.02.03.50.52,5.3,0.0,0.0013,Z|N|E|H,,OK
XO.LA39..HH.2018.07.03.01.45.18,9.7,0.0,0.0001,Z|N|E|H,,OK
XO.LT01..HH.2018.07.03.07.07.13,13.2,0.0,0.001,Z|N|E|H,,OK
XO.LT10..HH.2018.07.03.07.06.51,26.3,0.0,0.0001,Z|N|E|H,,OK
XO.LT12..HH.2018.07.03.07.06.57,17.9,0.0,0.0053,Z|N|E|H,,OK
XO.LD36..HH.2018.07.03.07.07.02,24.8,0.25,0.0005,Z|N|E,,OK
XO.LT13..HH.2018.07.03.07.11.22,0.8,0.0,0.0007,Z|N|E|H,,OK
XO.LD40..HH.2018.07.03.07.23.47,18.2,0.25,0.0001,Z|N|E,,OK
XO.LD36..HH.2018.07.03.08.46.32,15.3,0.25,0.0033,Z|N|E,,OK
XO.LT06..HH.2018.07.03.08.46.40,14.5,0.25,0.0027,Z|N|H,E,OK
XO.LT04..HH.2018.07.03.09.05.05,3.5,0.0,0.0007,Z|N|E|H,,OK
XO.LT14..HH.2018.07.03.09.04.52,11.2,0.25,0.0032,Z|N|H,E,OK
XO.LT14..HH.2018.07.03.11.25.10,15.4,0.25,0.0029,Z|N|H,E,OK
XO.LT13..HH.2018.07.03.11.53.32,1.1,0.0,0.0007,Z|N|E|H,,OK
XO.LA21..HH.2018.07.03.19.18.22,19.5,0.25,0.0001,Z|N|H,E,OK
XO.LD36..HH.2018.07.03.19.18.32,17.6,0.25,0.0001,Z|N|E,,OK
XO.LD38..HH.2018.07.03.19.18.32,14.6,0.25,0.0001,Z|N|E,,OK
XO.LA32..HH.2018.07.03.19.18.46,9.1,0.0,0.0011,Z|N|E|H,,OK
XO.LT12..HH.2018.07.03.19.18.46,11.2,0.0,0.0022,Z|N|E|H,,OK
XO.LT14..HH.2018.07.03.19.18.51,12.9,0.25,0.002,Z|N|H,E,OK
XO.LT09..HH.2018.07.03.19.19.04,7.6,0.0,0.0039,Z|N|E|H,,OK
XO.LT10..HH.2018.07.03.21.06.52,6.8,0.0,0.0007,Z|N|E|H,,OK
XO.LT04..HH.2018.07.03.22.14.09,9.3,0.0,0.0006,Z|N|E|H,,OK
XO.LT14..HH.2018.07.03.00.22.38,10.7,0.25,0.0035,Z|N|H,E,OK
XO.LT16..HH.2018.07.03.07.21.29,23.9,0.75,0.0007,Z|H,N|E,OK
XO.LT14..HH.2018.07.03.10.14.00,10.3,0.25,0.0032,Z|N|H,E,OK
XO.LT07..HH.2018.07.03.13.10.52,10.8,0.0,0.0009,Z|N|E|H,,OK
XO.LT10..HH.2018.07.03.13.11.01,6.9,0.0,0.0009,Z|N|E|H,,OK
XO.LT14..HH.2018.07.03.13.11.01,9.3,0.25,0.0026,Z|N|H,E,OK
XO.LD36..HH.2018.07.03.13.11.07,15.8,0.25,0.0005,Z|N|E,,OK
XO.LT01..HH.2018.07.03.13.11.44,12.6,0.0,0.0023,Z|N|E|H,,OK
XO.LT10..HH.2018.07.03.13.15.39,6.3,0.0,0.0011,Z|N|E|H,,OK
XO.LT10..HH.2018.07.03.12.56.42,5.4,0.0,0.0008,Z|N|E|H,,OK
XO.LA39..HH.2018.07.04.21.57.02,5.5,0.0,0.0001,Z|N|E|H,,OK
XO.LT06..HH.2018.07.04.05.55.42,12.3,0.25,0.0002,Z|N|H,E,OK
XO.LA39..HH.2018.07.04.19.05.46,6.2,0.0,0.0008,Z|N|E|H,,OK
XO.LT20..HH.2018.07.05.04.59.34,13.9,0.25,0.0017,Z|N|E,,OK
XO.LT12..HH.2018.07.05.04.58.59,9.2,0.0,0.0038,Z|N|E|H,,OK
XO.LT17..HH.2018.07.05.17.41.35,2.5,0.0,0.0005,Z|N|E|H,,OK
XO.LD44..HH.2018.07.05.17.41.40,11.5,0.25,0.0001,Z|N|E,,OK
XO.LA34..HH.2018.07.05.17.41.48,10.3,0.0,0.0011,Z|N|E|H,,OK
XO.LD44..HH.2018.07.05.18.27.29,14.5,0.25,0.0001,Z|N|E,,OK
XO.LA33..HH.2018.07.05.18.27.50,4.7,0.0,0.0004,Z|N|E|H,,OK
XO.LA39..HH.2018.07.05.22.25.01,6.8,0.0,0.0005,Z|N|E|H,,OK
XO.LT04..HH.2018.07.06.02.16.13,5.6,0.0,0.0003,Z|N|E|H,,OK
XO.LT12..HH.2018.07.06.22.30.18,4.0,0.0,0.0031,Z|N|E|H,,OK
XO.LT18..HH.2018.07.06.19.37.10,12.6,0.25,0.0005,Z|N|H,E,OK
XO.LD40..HH.2018.07.06.21.48.29,10.4,0.25,0.0004,Z|N|E,,OK
XO.LA39..HH.2018.07.07.11.31.21,6.9,0.0,0.0005,Z|N|E|H,,OK
XO.LT13..HH.2018.07.07.20.45.50,-0.3,0.0,0.0001,Z|N|E|H,,OK
XO.LT18..HH.2018.07.07.20.45.37,15.0,0.25,0.0009,Z|N|H,E,OK
XO.LD40..HH.2018.07.08.11.02.55,13.0,0.25,0.0001,Z|N|E,,OK
XO.LT04..HH.2018.07.08.03.13.53,6.5,0.0,0.0005,Z|N|E|H,,OK
XO.LD41..HH.2018.07.08.05.42.20,11.1,0.25,0.0001,Z|N|E,,OK
XO.LA32..HH.2018.07.08.15.13.51,9.3,0.0,0.0004,Z|N|E|H,,OK
XO.LA26..HH.2018.07.08.15.13.51,17.4,0.0,0.0114,Z|N|E|H,,OK
XO.LA21..HH.2018.07.08.15.13.59,8.7,0.25,0.0001,Z|N|H,E,OK
XO.LD44..HH.2018.07.08.15.14.06,14.5,0.25,0.0001,Z|N|E,,OK
XO.LA39..HH.2018.07.08.18.24.27,7.3,0.0,0.0001,Z|N|E|H,,OK
XO.LT01..HH.2018.07.09.17.48.38,7.8,0.0,0.0015,Z|N|E|H,,OK
XO.LA39..HH.2018.07.09.17.48.29,6.4,0.0,0.0001,Z|N|E|H,,OK
XO.LT04..HH.2018.07.09.20.54.09,4.2,0.0,0.0007,Z|N|E|H,,OK
XO.LT01..HH.2018.07.10.23.35.34,8.9,0.0,0.0017,Z|N|E|H,,OK
XO.LT01..HH.2018.07.10.16.43.25,9.3,0.0,0.0014,Z|N|E|H,,OK
XO.LD40..HH.2018.07.10.18.19.05,10.2,0.25,0.0007,Z|N|E,,OK
XO.LA39..HH.2018.07.10.21.15.46,5.2,0.0,0.0003,Z|N|E|H,,OK
XO.LD40..HH.2018.07.10.21.16.19,12.1,0.25,0.0005,Z|N|E,,OK
XO.LT14..HH.2018.07.11.10.03.31,10.1,0.25,0.0031,Z|N|H,E,OK
XO.LT04..HH.2018.07.11.10.03.42,5.2,0.0,0.0007,Z|N|E|H,,OK
XO.LT12..HH.2018.07.11.17.34.32,6.9,0.0,0.0375,Z|N|E|H,,OK
XO.LD41..HH.2018.07.11.17.45.47,9.7,0.25,0.0005,Z|N|E,,OK
XO.LT04..HH.2018.07.11.17.50.27,2.1,0.0,0.0007,Z|N|E|H,,OK
XO.LT06..HH.2018.07.11.19.58.12,15.7,0.25,0.0019,Z|N|H,E,OK
XO.LT20..HH.2018.07.11.07.48.46,19.3,0.25,0.0011,Z|N|E,,OK
XO.LD44..HH.2018.07.11.07.48.16,9.8,0.25,0.0001,Z|N|E,,OK
XO.LD41..HH.2018.07.11.17.47.02,10.5,0.25,0.0001,Z|N|E,,OK
XO.LD41..HH.2018.07.12.00.45.58,11.5,0.25,0.0009,Z|N|E,,OK
XO.LT04..HH.2018.07.12.02.05.29,4.4,0.0,0.0003,Z|N|E|H,,OK
XO.LD38..HH.2018.07.12.02.05.23,13.2,0.25,0.0025,Z|N|E,,OK
XO.LT06..HH.2018.07.12.02.57.14,15.0,0.25,0.0001,Z|N|H,E,OK
XO.LT09..HH.2018.07.12.02.57.23,11.9,0.0,0.0057,Z|N|E|H,,OK
XO.LD41..HH.2018.07.12.02.57.39,17.0,0.25,0.0001,Z|N|E,,OK
XO.LA34..HH.2018.07.12.02.57.39,11.4,0.0,0.0001,Z|N|E|H,,OK
XO.LD41..HH.2018.07.12.08.20.27,12.0,0.25,0.0002,Z|N|E,,OK
XO.LA39..HH.2018.07.12.08.20.45,9.0,0.0,0.0012,Z|N|E|H,,OK
XO.LT07..HH.2018.07.12.21.03.00,11.0,0.0,0.0013,Z|N|E|H,,OK
XO.LT12..HH.2018.07.12.21.03.12,15.7,0.0,0.0171,Z|N|E|H,,OK
XO.LT06..HH.2018.07.12.23.34.15,17.5,0.25,0.0002,Z|N|H,E,OK
XO.LD40..HH.2018.07.12.00.37.42,15.6,0.25,0.0005,Z|N|E,,OK
XO.LT01..HH.2018.07.12.00.47.49,5.1,0.0,0.0039,Z|N|E|H,,OK
XO.LD41..HH.2018.07.12.00.47.35,11.4,0.25,0.0001,Z|N|E,,OK
XO.LA39..HH.2018.07.12.00.47.36,2.9,0.0,0.0002,Z|N|E|H,,OK
XO.LD41..HH.2018.07.12.01.45.08,11.4,0.25,0.0004,Z|N|E,,OK
XO.LT01..HH.2018.07.12.06.43.21,11.0,0.0,0.0021,Z|N|E|H,,OK
XO.LD40..HH.2018.07.12.07.07.16,11.1,0.25,0.0001,Z|N|E,,OK
XO.LT04..HH.2018.07.12.08.32.02,12.4,0.0,0.001,Z|N|E|H,,OK
XO.LT01..HH.2018.07.12.09.38.55,13.7,0.0,0.0016,Z|N|E|H,,OK
XO.LT17..HH.2018.07.12.10.25.09,3.7,0.0,0.0011,Z|N|E|H,,OK
XO.LA39..HH.2018.07.12.14.39.37,9.9,0.0,0.0019,Z|N|E|H,,OK
XO.LA33..HH.2018.07.13.07.11.32,2.0,0.0,0.0003,Z|N|E|H,,OK
XO.LT01..HH.2018.07.13.10.08.23,12.8,0.0,0.0021,Z|N|E|H,,OK
XO.LA39..HH.2018.07.13.21.32.30,34.4,0.0,0.0002,Z|N|E|H,,OK
XO.LD41..HH.2018.07.13.21.32.49,20.4,0.25,0.0001,Z|N|E,,OK
XO.LD41..HH.2018.07.13.22.30.43,9.8,0.25,0.0003,Z|N|E,,OK
XO.WD46..HH.2018.07.13.22.30.13,5.2,0.25,0.0001,Z|N|E,,OK
XO.LA39..HH.2018.07.13.11.44.00,8.2,0.0,0.0006,Z|N|E|H,,OK
XO.LD40..HH.2018.07.14.15.38.46,10.9,0.25,0.0006,Z|N|E,,OK
XO.LA39..HH.2018.07.14.19.00.28,2.3,0.0,0.0005,Z|N|E|H,,OK
XO.LD40..HH.2018.07.14.19.27.17,12.3,0.25,0.0003,Z|N|E,,OK
XO.LD41..HH.2018.07.14.19.27.36,9.5,0.25,0.0003,Z|N|E,,OK
XO.LA33..HH.2018.07.15.00.14.08,4.4,0.0,0.0002,Z|N|E|H,,OK
XO.LA29..HH.2018.07.15.00.14.14,15.2,0.0,0.0003,Z|N|E|H,,OK
XO.LT14..HH.2018.07.15.00.14.28,9.6,0.25,0.0027,Z|N|H,E,OK
XO.LT10..HH.2018.07.15.00.14.29,-0.3,0.0,0.0005,Z|N|E|H,,OK
XO.LA23..HH.2018.07.15.00.15.03,1.9,0.0,0.0003,Z|N|E|H,,OK
XO.LA34..HH.2018.07.15.01.52.47,4.8,0.0,0.0003,Z|N|E|H,,OK
XO.LD36..HH.2018.07.15.01.53.00,16.5,0.25,0.0062,Z|N|E,,OK
XO.LT04..HH.2018.07.16.00.19.34,2.2,0.0,0.0006,Z|N|E|H,,OK
XO.WD49..HH.2018.07.16.08.15.57,10.0,0.25,0.0001,Z|N|E,,OK
XO.LA39..HH.2018.07.16.22.51.24,6.0,0.0,0.0003,Z|N|E|H,,OK
XO.LT17..HH.2018.07.16.07.24.24,4.9,0.0,0.0007,Z|N|E|H,,OK
XO.LT20..HH.2018.07.16.07.24.44,17.7,0.25,0.0017,Z|N|E,,OK
XO.LD40..HH.2018.07.16.11.35.05,13.9,0.25,0.0003,Z|N|E,,OK
XO.LT18..HH.2018.07.17.03.30.59,12.3,0.25,0.0001,Z|N|H,E,OK
XO.LT12..HH.2018.07.17.03.31.00,5.9,0.0,0.0017,Z|N|E|H,,OK
XO.LA34..HH.2018.07.17.03.31.05,8.5,0.0,0.0005,Z|N|E|H,,OK
XO.LD36..HH.2018.07.17.03.31.15,13.8,0.25,0.0011,Z|N|E,,OK
XO.LD44..HH.2018.07.17.03.31.27,13.5,0.25,0.0001,Z|N|E,,OK
XO.WD49..HH.2018.07.17.02.33.12,12.1,0.25,0.0006,Z|N|E,,OK
XO.LD41..HH.2018.07.17.02.33.20,10.8,0.25,0.0007,Z|N|E,,OK
XO.LT06..HH.2018.07.17.17.34.45,13.5,0.25,0.0025,Z|N|H,E,OK
XO.LA26..HH.2018.07.17.17.35.05,2.5,0.0,0.0001,Z|N|E|H,,OK
XO.LT20..HH.2018.07.17.21.17.43,10.9,0.25,0.0011,Z|N|E,,OK
XO.LA34..HH.2018.07.18.11.56.27,7.3,0.0,0.0007,Z|N|E|H,,OK
XO.WD52..HH.2018.07.18.19.05.35,21.5,0.25,0.0002,Z|N|E,,OK
XO.LA34..HH.2018.07.18.19.05.40,32.2,0.0,0.0041,Z|N|E|H,,OK
XO.WD60..HH.2018.07.18.19.06.03,28.1,0.25,0.0001,Z|N|E,,OK
XO.LT18..HH.2018.07.18.19.19.45,11.5,0.25,0.0001,Z|N|H,E,OK
XO.LD44..HH.2018.07.18.19.19.52,10.7,0.25,0.0001,Z|N|E,,OK
XO.LT20..HH.2018.07.18.19.23.10,12.6,0.25,0.0003,Z|N|E,,OK
XO.LT18..HH.2018.07.18.01.55.25,14.2,0.25,0.0013,Z|N|H,E,OK
XO.LA29..HH.2018.07.18.01.55.31,4.3,0.0,0.0005,Z|N|E|H,,OK
XO.WD58..HH.2018.07.18.14.07.46,9.0,0.25,0.0001,Z|N|E,,OK
XO.LD40..HH.2018.07.18.18.47.37,12.2,0.25,0.0001,Z|N|E,,OK
XO.WS75..HH.2018.07.19.02.27.41,10.6,0.25,0.0001,Z|N|E,,OK
XO.LT13..HH.2018.07.19.02.27.56,4.5,0.0,0.0002,Z|N|E|H,,OK
XO.LT16..HH.2018.07.19.02.27.59,24.0,0.75,0.0002,Z|H,N|E,OK
XO.LT14..HH.2018.07.19.02.28.04,12.6,0.25,0.0034,Z|N|H,E,OK
XO.WD63..HH.2018.07.19.02.28.07,12.5,0.25,0.0001,Z|N|E,,OK
XO.WD60..HH.2018.07.19.02.28.15,12.2,0.25,0.0001,Z|N|E,,OK
XO.LD45..HH.2018.07.19.02.54.07,11.9,0.25,0.0007,Z|N|E,,OK
XO.LT07..HH.2018.07.19.06.06.09,18.7,0.0,0.0001,Z|N|E|H,,OK
XO.LT07..HH.2018.07.19.10.36.01,8.8,0.0,0.0021,Z|N|E|H,,OK
XO.LD36..HH.2018.07.19.10.36.09,15.5,0.25,0.0049,Z|N|E,,OK
XO.LA34..HH.2018.07.19.14.32.56,10.5,0.0,0.0002,Z|N|E|H,,OK
XO.WD59..HH.2018.07.19.14.33.19,15.2,0.25,0.0001,Z|N|E,,OK
XO.WD60..HH.2018.07.19.14.33.19,11.0,0.25,0.0001,Z|N|E,,OK
XO.LA32..HH.2018.07.19.14.33.03,8.1,0.0,0.0004,Z|N|E|H,,OK
XO.LA30..HH.2018.07.19.14.33.30,10.4,0.0,0.0036,Z|N|E|H,,OK
XO.LT20..HH.2018.07.19.14.32.44,21.2,0.25,0.0001,Z|N|E,,OK
XO.LD44..HH.2018.07.19.14.32.49,24.1,0.25,0.0001,Z|N|E,,OK
XO.WD60..HH.2018.07.19.15.04.49,11.3,0.25,0.0004,Z|N|E,,OK
XO.LT20..HH.2018.07.19.21.15.38,16.3,0.25,0.0001,Z|N|E,,OK
XO.LT13..HH.2018.07.19.21.15.53,0.7,0.0,0.0004,Z|N|E|H,,OK
